time_s,fortran_obs1_dB,fortran_obs2_dB,cpp_obs1_dB,cpp_obs2_dB
10.7,67.16397,60.5401,67.1639673,60.5401069
10.8,67.15637,51.70067,67.1563735,51.7006685
10.9,67.17191,50.54372,67.1719117,50.543718
11,67.18961,50.35167,67.1896061,50.3516687
11.1,67.18163,50.61824,67.1816277,50.6182363
11.2,67.1638,51.04136,67.1638035,51.041357
11.3,67.17332,51.29877,67.1733175,51.2987697
11.4,67.19,51.52071,67.1899969,51.5207094
11.5,67.19956,51.6334,67.1995631,51.6333963
11.6,67.20901,51.71088,67.2090099,51.7108747
11.7,67.21807,51.79092,67.218074,51.7909239
11.8,67.24146,51.87588,67.2414599,51.8758796
11.9,67.26252,51.90035,67.2625216,51.9003587
12,67.25452,51.845,67.2545186,51.8450011
12.1,67.23931,51.83323,67.2393125,51.8332252
12.2,67.23272,52.00776,67.2327184,52.0077612
12.3,67.23586,52.49147,67.235862,52.491472
12.4,67.24113,53.41754,67.2411286,53.417546
12.5,67.22793,55.06762,67.2279305,55.0676168
12.6,67.20074,57.46511,67.2007424,57.4651023
12.7,67.18587,57.73564,67.1858713,57.7356363
12.8,67.17959,51.55318,67.1795888,51.553181
12.9,67.17347,50.49362,67.1734684,50.4936215
13,67.16817,50.38468,67.1681673,50.384672
13.1,67.16266,50.69704,67.1626557,50.6970402
13.2,67.17069,51.08237,67.1706903,51.0823735
13.3,67.18752,51.27995,67.1875232,51.2799564
13.4,67.19271,51.48037,67.1927099,51.4803737
13.5,67.19053,51.62969,67.190526,51.6296842
13.6,67.19642,51.74056,67.1964212,51.7405569
13.7,67.21964,51.82678,67.2196432,51.8267737
13.8,67.25484,51.88027,67.254847,51.8802733
13.9,67.26693,51.86823,67.2669312,51.868236
14,67.24627,51.82158,67.2462673,51.8215826
14.1,67.22227,51.84328,67.2222656,51.8432738
14.2,67.22235,52.04972,67.2223508,52.0497194
14.3,67.24602,52.54522,67.2460181,52.5452268
14.4,67.2619,53.49627,67.2619015,53.4962831
14.5,67.23462,55.22908,67.2346222,55.2290806
14.6,67.18236,57.71625,67.1823573,57.7162359
14.7,67.15313,56.23809,67.1531274,56.2380753
14.8,67.16598,51.39873,67.1659785,51.3987275
14.9,67.20102,50.52145,67.2010295,50.5214639
15,67.20804,50.47821,67.2080465,50.4782173
15.1,67.16966,50.74226,67.1696568,50.7422576
15.2,67.13153,51.02357,67.1315289,51.0235615
15.3,67.14012,51.21945,67.1401176,51.2194509
15.4,67.19283,51.50452,67.1928285,51.504523
15.5,67.24528,51.72233,67.2452911,51.7223419
15.6,67.24556,51.8047,67.2455656,51.8047067
15.7,67.20848,51.79712,67.2084789,51.7971152
15.8,67.19244,51.79065,67.1924311,51.7906363
15.9,67.22265,51.82613,67.2226497,51.8261306
16,67.27354,51.88884,67.2735424,51.8888497
16.1,67.29123,51.95554,67.2912393,51.9555526
16.2,67.25483,52.08783,67.254831,52.0878301
16.3,67.20822,52.49602,67.2082147,52.4960017
16.4,67.1978,53.51223,67.1977979,53.5122355
16.5,67.21421,55.46908,67.214207,55.469081
16.6,67.22728,58.13873,67.2272922,58.1388082
16.7,67.20829,55.52588,67.208285,55.5258526
16.8,67.17192,51.22907,67.1719229,51.2290654
16.9,67.15576,50.46861,67.1557617,50.4686243
17,67.16051,50.49802,67.1605052,50.498039
17.1,67.1713,50.79405,67.1713076,50.7940553
17.2,67.17676,51.04365,67.1767659,51.0436319
17.3,67.17644,51.22485,67.1764393,51.2248398
17.4,67.18562,51.50143,67.1856182,51.5014368
17.5,67.20476,51.72077,67.2047674,51.7207873
17.6,67.21748,51.81533,67.2174814,51.815339
17.7,67.22342,51.82335,67.2234227,51.8233406
17.8,67.23023,51.81446,67.2302288,51.8144511
17.9,67.24201,51.8284,67.2420099,51.8284005
18,67.25715,51.86784,67.2571512,51.8678474
18.1,67.25719,51.92894,67.2571909,51.9289533
18.2,67.24196,52.10158,67.2419634,52.1015717
18.3,67.22767,52.57863,67.2276641,52.5786211
18.4,67.21982,53.64843,67.2198183,53.6484271
18.5,67.21571,55.64924,67.2157132,55.6492663
18.6,67.20674,58.27672,67.2067453,58.2767331
18.7,67.18945,54.7741,67.1894519,54.774104
18.8,67.17488,51.10432,67.1748837,51.1043094
18.9,67.16995,50.43037,67.169954,50.4303793
19,67.16723,50.48245,67.1672351,50.4824644
19.1,67.16533,50.82224,67.1653303,50.8222382
19.2,67.16563,51.07524,67.1656279,51.0752253
19.3,67.17444,51.26876,67.1744364,51.2687525
19.4,67.19425,51.51891,67.1942493,51.5189208
19.5,67.21104,51.70643,67.2110472,51.7064472
19.6,67.21539,51.80009,67.2153872,51.8000897
19.7,67.21614,51.82651,67.2161394,51.826497
19.8,67.22666,51.83056,67.2266549,51.8305477
19.9,67.24773,51.83861,67.2477361,51.8386107
20,67.2652,51.8629,67.2652065,51.8629178
